title,price_display,description,propertyType,locality,latitude,longitude,postcode,state,street_address,suburb,bathrooms,bedrooms,parking_spaces,agency_name,amenities
Large and bright - Spacious Coastal Living Moments from the Beach,930.0,"The Phone Code for this property is: 19554. Please quote this number when phoning or texting.<br/><br/>Please submit an enquiry to receive a link to the Application Form.<br/><br/>Spacious , modern and light-filled, this large two-bedroom unit offers relaxed coastal living just moments from Dee Why beach and vibrant cafes. Featuring an open-plan layout, the generous living area flows seamlessly to a private balcony.<br/><br/>The entire unit has been freshly painted throughout, giving it a crisp, move-in-ready feel.<br/><br/>Key features:<br/>- renovated kitchen with ample storage<br/>- gas cooktop & dishwasher<br/>- large 2 bedrooms, both with floor to ceiling built in wardrobes providing excellent storage<br/>- balcony<br/>-large lock up garage with laundry<br/>- security building with intercom",unit,Dee Why,-33.75604171,151.29414073,2099,NSW,4/115 Pacific Parade,Dee Why,1,2,1,Property Listings -                         Australia                                               ,"Balcony, Garage: 1, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Intercom, Pay TV Access"
3 bedroom home in Mayfield with Shed,490.0,Features include;<br/>3 bedrooms with built in wardrobes<br/>1 bathroom<br/>kitchen with electric cooking opening into the lounge<br/>large shed in great size back yard,house,Mayfield,-41.39055836,147.12961228,7248,Tas,34 Mayfield Street,Mayfield,1,3,5,The Agency - Launceston,"Garage: 1, Open Spaces: 4, Secure Parking, Shed, Built-in Wardrobes, Living Areas: 1, Toilets: 1, Pets Allowed"
Spacious & Well-Located Apartment – Prime Taringa Position!,780.0,"Welcome to this generously sized and exceptionally well-positioned apartment in the heart of Taringa, one of Brisbane’s most convenient and sought-after inner-west suburbs.<br/><br/>Perfectly located just minutes from Brisbane CBD, The University of Queensland and major shopping precincts, this property offers lifestyle, convenience and comfort all in one.<br/><br/>🏡 Property Features:<br/><br/>✨ Large internal floor area – spacious layout rarely found in newer apartments<br/>✨ Well-designed floor plan with excellent natural light<br/>✨ Generous bedrooms with built-in wardrobes<br/>✨ Spacious open-plan living and dining area<br/>✨ Functional kitchen with ample storage<br/>✨ Large balcony – perfect for relaxing or entertaining<br/>✨ Secure building with dedicated car space<br/>✨ Solid brick construction – quiet and private<br/><br/>This apartment offers a much larger living space compared to many modern units, providing a comfortable home environment ideal for families, professionals or students.<br/><br/>📍 Prime Location Benefits:<br/><br/>🚆 Walking distance to Taringa train station – approx. 10 minutes to Brisbane CBD<br/>🎓 Close to The University of Queensland – convenient for students and staff<br/>🏫 Within proximity to Indooroopilly State High School<br/>🛍 Minutes to Indooroopilly Shopping Centre – one of Brisbane’s largest shopping centres<br/>🌳 Easy access to parks, cafes and public transport<br/><br/>Living here means you are only approximately 5km from Brisbane CBD, while enjoying the peaceful suburban lifestyle that Taringa is known for.<br/><br/>👨‍👩‍👧‍👦 Ideal For:<br/><br/>• University students<br/>• City professionals<br/>• Families wanting access to quality schools<br/>• Tenants looking for space and convenience<br/><br/>This is a rare opportunity to secure a large, well-located apartment in Brisbane’s inner west.<br/><br/>📞 Contact Greg [REDACTED PHONE] today to arrange an inspection.<br/> <br/>Apply For This Property Online: https://TheOnsiteManager.com/apply/21170725<br/>(Listing ID: 21170725 )<br/><br/><br/>",apartment,Taringa,-27.49643239,152.98921675,4068,Qld,5/110 Indooroopilly Road,Taringa,2,3,2,THEONSITEMANAGER - Queensland,"Balcony, Garage: 2, Air Conditioning, Intercom, Pets Allowed"
Spacious and Inviting Family Home in Prime Location,790.0,"RentBetter Property ID: 308968 (quote when calling)<br/><br/>APPLY: Send through an enquiry and you'll receive the link to apply<br/><br/>Perfectly blending character and modern comfort, this beautifully presented four-bedroom residence enjoys an enviable position within the coveted Box Hill High School zone. With reverse cycle air conditioning in the living area and master bedroom, you’ll enjoy year-round comfort in a home designed for relaxed family living.<br/><br/>Step inside to discover light-filled open-plan living and dining spaces flowing effortlessly to a sunny, landscaped rear garden – ideal for entertaining or unwinding. The inviting living area features a charming wood-burning fireplace for the cooler months, creating a cozy and welcoming atmosphere.<br/><br/>The master bedroom includes a walk-in wardrobe and ensuite, complemented by three further bedrooms that offer flexibility for family living or home office use. Fully electric and energy-efficient, the home also features solar panels to help keep running costs low.<br/><br/>Property Features:<br/><br/>Reverse cycle air conditioning to living area and master bedroom<br/>Open-plan living and dining with direct outdoor access<br/>Four spacious bedrooms, master with walk-in robe and ensuite<br/>Wood-burning fireplace for cozy winter nights<br/>North-facing backyard – perfect for entertaining<br/>Solar panels for energy-efficient living<br/><br/>Location Highlights:<br/>Zoned for Box Hill High School and Blackburn Primary.<br/>Walk to Blackburn Station, local cafés, and shops<br/>Easy access to Blackburn Lake Sanctuary for weekend walks<br/>Moments from Blackburn Square and major shopping centres<br/><br/>Offering a delightful combination of lifestyle, comfort, and convenience, this beautiful residence is ready for you to call home.",house,Blackburn,-37.825913,145.153229,3130,Vic,1 Wellington Avenue,Blackburn,2,4,2,RentBetter,"Carport: 2, Courtyard, Shed, Air Conditioning, Built-in Wardrobes, Dishwasher, Open Fireplace, Split-system Heating"
Coastal Family Living,700.0,"RentBetter Property ID: 416475 (quote when calling)<br/><br/>APPLY: Send through an enquiry and you'll receive the link to apply<br/><br/>If you need help with booking an inspection, you can call Scott on [REDACTED PHONE].<br/><br/>Welcome to 7 Olivia Street, Beachmere — a brand-new home perfectly positioned in a quiet, no-through road surrounded by other families, offering a safe and community-minded environment ideal for relaxed coastal living.<br/><br/>This beautifully presented residence features four spacious bedrooms, two modern bathrooms, and a double lock-up garage, all set on a large, fully fenced block — perfect for children to play and for families to enjoy outdoor living.<br/><br/>Designed for comfort and ease, the home offers a fresh, contemporary feel with light-filled spaces and a practical layout suited to modern family life. Being brand new, you will be the first to enjoy everything this home has to offer.<br/><br/>Located just two blocks from the waterfront, you can enjoy morning walks, nearby parks, and local cafés, all while living in a peaceful and welcoming neighbourhood.<br/><br/>A fantastic opportunity for families seeking space, lifestyle, and a strong sense of community in a sought-after coastal location.<br/><br/>As this home is a new construction, NBN has not been connected. We recommend prospective tenants conduct your own enquiries, with your preferred supplier, regarding the availability of NBN or any other service you may require, prior to applying for this property.<br/><br/>Tenants will be required to pay for water usage.<br/><br/>DISCLAIMER: we have gathered information from sources that we believe are dependable. Whilst every care is taken in the preparation of the information contained herein, we will not be held liable for any errors in the information supplied. All information is considered correct at the time of printing. Any interested parties should rely on their own inquiries.",house,Beachmere,-27.12471734,153.05345573,4510,Qld,7 Olivia St,Beachmere,2,4,2,RentBetter,"Deck, Fully Fenced, Garage: 2, Secure Parking, Air Conditioning, Built-in Wardrobes, Dishwasher"
One bedroom plus study with car parking,900.0,"**Available Now | Private inspection available by appointment | Apply by clicking ''Apply' on realeastate.com.au ** <br/><br/><br/>Sydney Park designed by award-winning architects, whole community feature exquisite architectural work and designer detail, Park Sydney welcomes a new for urban luxury living.<br/><br/>This near new modern apartment offers:<br/><br/>- Open living and dining area which flows onto the balcony<br/>- Generous sized bedroom and study room with built-in wardrobes<br/>- High quality finished kitchen with SMEG appliances<br/>- Sleek bathroom with generous vanity storage<br/>- Secured car parking<br/><br/><br/>This newly built complex offers:<br/><br/>- 7,450 sqm of new landscaped public parkland<br/>- 400m of walkway and cycleway<br/>- Over 10,000 sqm retail offerings<br/>- Woolworths Metro on-site<br/>- Cafe and dining strip overlooking the future park<br/>- Onsite childcare centre<br/>- Close to a range of major universities<br/><br/><br/>Please contact Shelly [REDACTED PHONE] to arrange the inspections.<br/><br/><br/><br/><br/>Disclaimer: The information presented has been furnished from sources we deem to be reliable. We have not verified whether or not the information is accurate and do not accept any responsibility to any person and do no more than pass it on. All interested parties should rely on their own enquiries in order to determine the accuracy of this information.",apartment,Erskineville,-33.90327212,151.19024063,2043,NSW,515/2 Stovemaker Lane,Erskineville,1,1,1,Horizon Realty Australia - Epping,"Balcony, Garage: 1, Secure Parking, Air Conditioning, Alarm System, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Study"
Spacious & Low set Family Home on 957m² Block,670.0,"This well‑presented 4‑bedroom home offers comfort, convenience, and generous outdoor space—perfect for families seeking a quiet yet central lifestyle.<br/>Property Features<br/>- 4 spacious bedrooms<br/>- 1 well‑appointed bathroom<br/>- Modern kitchen with ample storage<br/>- Open‑plan living and dining area<br/>- Single carport plus additional off‑street parking<br/>- Large 957m² block with plenty of yard space<br/>- Approx. 110m² internal floor area<br/>- Quiet position with easy access to shops, schools, and transport<br/> <br/>Apply For This Property Online: https://TheOnsiteManager.com/apply/21170723<br/>(Listing ID: 21170723 )<br/><br/><br/>",house,Regents Park,-27.6680912,153.03365391,4118,Qld,3388 Mount Lindesay Highway,Regents Park,1,4,2,THEONSITEMANAGER - Queensland,"Garage: 2, Air Conditioning, Pets Allowed"
Freestading house with large yard,1100.0,RentBetter Property ID: 416482 (quote when calling)<br/><br/>APPLY: Send through an enquiry and you'll receive the link to apply<br/><br/>3 Bedroom house <br/>1 Bathroom <br/>Large living area <br/>Large grass yard <br/>Parking for 2 cars,house,Marrickville,-33.90919278,151.15935805,2204,NSW,18 Garners Ave,Marrickville,1,3,2,RentBetter,"Open Spaces: 2, Pets Allowed"
Newly Renovated | Stylish City Living in Prime Location,1150.0,"Situated in the vibrant heart of Haymarket, this newly renovated apartment offers modern finishes, fresh interiors and unbeatable convenience. Perfectly positioned moments from Central Station Sydney and Chinatown Sydney, enjoy the ultimate CBD lifestyle.<br/><br/>This beautifully updated residence is ideal for professionals or students seeking comfort and style in a premium location.<br/><br/>Property Features:<br/><br/>Freshly renovated throughout<br/><br/>Brand new modern kitchen with stone benchtops & quality appliances<br/><br/>Bright open-plan living and dining area<br/><br/>Spacious bedroom(s) with built-in wardrobe(s)<br/><br/>Stylish renovated bathroom with quality fittings<br/><br/>New flooring and freshly painted interiors<br/><br/>Internal laundry<br/><br/>Private balcony<br/><br/>Secure building with lift access",apartment,Haymarket,-33.8785979,151.20769796,2000,NSW,224/398-408 Pitt St,Haymarket,1,2,1,Rental Master - SYDNEY,"Balcony, Carport: 1, Air Conditioning, Built-in Wardrobes, Dishwasher"
FOR RENT – Modern 4 Bedroom Family Home,580.0,"This beautifully presented modern home offers comfort, space, and convenience — perfect for families or professionals looking for low-maintenance living close to everything you need.<br/><br/> Property Features:<br/><br/>4 generous bedrooms<br/><br/>Master bedroom with ensuite<br/><br/>Main bathroom includes a bathtub<br/><br/>Built-in wardrobes<br/><br/>Spacious open-plan living and dining area<br/><br/>Contemporary kitchen with gas cooktop and ample storage<br/><br/>Double garage with roller door access to the rear yard<br/><br/>Covered outdoor patio – ideal for entertaining<br/><br/>Fully fenced yard with easy-care landscaping<br/><br/> Location Highlights:<br/><br/>Close to local schools<br/><br/>Minutes to shops and amenities<br/><br/>Convenient access to public transport<br/><br/>This modern family home combines functionality with style and is ready for you to move in and enjoy.<br/><br/>Apply with inspection CODE 5549!",house,Edmonton,-17.01989076,145.72293215,4869,Qld,13 Quinn Drive,Edmonton,2,4,2,Five Rivers Sales & Rentals - PARRAMATTA PARK,"Garage: 2, Dishwasher"
FOR RENT – Modern 4 Bedroom Family Home,580.0,"This beautifully presented modern home offers comfort, space, and convenience — perfect for families or professionals looking for low-maintenance living close to everything you need.<br/><br/> Property Features:<br/><br/>4 generous bedrooms<br/><br/>Master bedroom with ensuite<br/><br/>Main bathroom includes a bathtub<br/><br/>Built-in wardrobes<br/><br/>Spacious open-plan living and dining area<br/><br/>Contemporary kitchen with gas cooktop and ample storage<br/><br/>Double garage with roller door access to the rear yard<br/><br/>Covered outdoor patio – ideal for entertaining<br/><br/>Fully fenced yard with easy-care landscaping<br/><br/> Location Highlights:<br/><br/>Close to local schools<br/><br/>Minutes to shops and amenities<br/><br/>Convenient access to public transport<br/><br/>This modern family home combines functionality with style and is ready for you to move in and enjoy.<br/><br/>Apply with inspection CODE 5549!",house,Edmonton,-17.01989076,145.72293215,4869,Qld,13 Quinn Drive,Edmonton,2,4,2,Five Rivers Sales & Rentals - PARRAMATTA PARK,"Garage: 2, Dishwasher"
VERY SPACIOUS OPEN PLAN AND ELEVATED UNIT IN GREAT POSITION !!,600.0,"To apply, submit an enquiry and you'll receive the application link via email.<br/><br/>To enquire via phone, call 1300 815 051 and enter code 1120<br/><br/>This spacious two-bedroom unit is situated in the sought after suburb of Northgate is close to all your transport needs. Close to local shops, restaurants, and just a short walk to the Northgate train station and the Nundah Village retail precinct.<br/><br/> Features include:<br/>• Open plan combined living and dining areas<br/>• Spacious Bedrooms with built in wardrobes<br/>• Large kitchen with electric cook top with ample storage and space.<br/>• Private balcony extends from the lounge<br/>• Spacious bathroom with separate toilet<br/>• Secure lock up garage with laundry area<br/>• Ceiling fans throughout<br/>• Walking distance to bus and train<br/><br/>To enquire via phone, call 1300 815 051 and enter code 1120",unit,Northgate,-27.39433629,153.06536566,4013,Qld,UNIT 4/11 Buckle Street,Northgate,1,2,1,Property Now - BRISBANE CITY,"Balcony, Garage: 1, Broadband Internet Available, Built-in Wardrobes, Living Areas: 1"
Brand New 3bedroom house(All En-suites),550.0,"Rise Up Realtors proudly presents one of the rarest opportunities for those looking for privacy with their own ensuites.<br/><br/>Discover a rare rental opportunity in one of Melbourne's fastest-growing suburbs with this newly built, sun-filled home offering comfort, style, and practicality. Perfectly suited for families or professionals, this residence combines generous living spaces with high-quality finishes and a thoughtfully designed layout.<br/><br/>Property Features:<br/><br/>• Brand-new home featuring a contemporary open-plan design<br/><br/>• Three spacious bedrooms, each with its own private ensuite - a rare and highly sought-after configuration<br/><br/>• Split-system heating and cooling in all bedrooms for year-round comfort<br/><br/>• Separate laundry room for added convenience<br/><br/>• Single-car garage with internal access<br/><br/>• Fully fenced backyard ideal for outdoor activities and added privacy<br/><br/>• Abundant natural light throughout the home<br/><br/>Location:<br/><br/>Truganina, located approximately 22 km west of Melbourne's CBD, is a thriving suburb known for its family-friendly atmosphere, modern housing estates, and strong sense of community. Residents enjoy easy access to schools, childcare centres, parks, shopping hubs, and public transport. With ongoing development, Truganina continues to attract renters seeking both lifestyle and long-term growth.<br/><br/>A Ready-to-Move-In Home:<br/><br/>With its brand-new condition, rare three-ensuite layout, practical design, and modern amenities, this property presents an exceptional rental opportunity in a highly desirable location.<br/><br/>Inspection Notice:<br/>Please use the ""Request an Inspection"" feature to attend an open home. This allows us to notify you of any changes to inspection times and provide an application form. Our office staff are unable to answer property or application-specific questions. If you have a query, please submit it via the ""Get in Touch"" button.<br/><br/>Contact : [REDACTED PHONE] Harminder Singh(HAPPY)",house,Truganina,-37.76442636,144.67859551,3029,Vic,119 Craycroft Road,Truganina,3,3,1,Rise Up Realtors,"Garage: 1, Ensuite: 3"
Early Departure - 1 bedroom PREMIUM Apartment,740.0,"𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗢𝗻𝗲 𝗕𝗲𝗱𝗿𝗼𝗼𝗺 𝗔𝗽𝗮𝗿𝘁𝗺𝗲𝗻𝘁<br/><br/>📍𝗣𝗿𝗶𝗺𝗲 𝗟𝗼𝗰𝗮𝘁𝗶𝗼𝗻 𝗕𝗲𝗻𝗲𝗳𝗶𝘁𝘀<br/><br/> • 𝗪𝗮𝗹𝗸𝗶𝗻𝗴 𝗱𝗶𝘀𝘁𝗮𝗻𝗰𝗲 to Gold Coast hospitals, Griffith University & G-Link<br/> • 𝗢𝗻-𝘀𝗶𝘁𝗲 𝗿𝗲𝘁𝗮𝗶𝗹 𝗵𝘂𝗯 with Woolworths, medical center, dining & cafés<br/> • 𝟱𝗸𝗺 to Southport CBD & beaches<br/> • 𝟭𝟬 𝗺𝗶𝗻𝘂𝘁𝗲𝘀 to Harbour Town Shopping Centre<br/> <br/>𝗔𝗽𝗮𝗿𝘁𝗺𝗲𝗻𝘁 𝗙𝗲𝗮𝘁𝘂𝗿𝗲𝘀<br/><br/> • 1 bedroom with reverse cycle AC throughout<br/> • Modern kitchen: gas cooktop, electric oven, dishwasher<br/> • Secure parking + dryer included<br/> <br/>𝗣𝗿𝗲𝗺𝗶𝘂𝗺 𝗔𝗺𝗲𝗻𝗶𝘁𝗶𝗲𝘀<br/><br/> • 24/7 Onsite security<br/> • Resort-style pools & fully-equipped gym<br/> • Off-leash dog park & sports oval<br/> • BBQ areas & landscaped gardens<br/> • Community events: movie nights, yoga classes, social gatherings<br/> <br/>𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗙𝗼𝗿<br/><br/> • 𝗣𝗿𝗼𝗳𝗲𝘀𝘀𝗶𝗼𝗻𝗮𝗹𝘀 - Close to business districts<br/> • 𝗦𝘁𝘂𝗱𝗲𝗻𝘁𝘀 - Walking to Griffith University<br/> • 𝗙𝗮𝗺𝗶𝗹𝗶𝗲𝘀 - Near quality schools<br/> • 𝗣𝗲𝘁 𝗼𝘄𝗻𝗲𝗿𝘀 - Some restrictions apply<br/> <br/>𝗪𝗵𝘆 𝗖𝗵𝗼𝗼𝘀𝗲 𝗦𝗺𝗶𝘁𝗵 𝗖𝗼𝗹𝗹𝗲𝗰𝘁𝗶𝘃𝗲?<br/><br/> ✅ True community living with regular social events<br/> ✅ Everything on your doorstep - retail, dining, healthcare<br/> ✅ Exceptional transport connectivity<br/> ✅ Resort-style amenities without leaving home<br/> <br/>Inspections held at 17 Village Boulevard, Southport<br/><br/>𝗥𝗲𝗮𝗱𝘆 𝘁𝗼 𝗷𝗼𝗶𝗻 𝗼𝘂𝗿 𝗰𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆? 𝗖𝗼𝗻𝘁𝗮𝗰𝘁 𝘂𝘀 𝘁𝗼𝗱𝗮𝘆!<br/><br/>Note: Display images only<br/>",apartment,Southport,-27.95998199,153.39027534,4215,Qld,7303/25 Clarke Street,Southport,1,1,1,Smith Collective,"Balcony, Open Spaces: 1, Secure Parking, Swimming Pool - Inground, Air Conditioning, Built-in Wardrobes, Dishwasher, Floorboards, Gym, Intercom, Toilets: 1, Pets Allowed"
Beautiful One Bedroom Apartment With City View,950.0,"To apply, submit an enquiry and you'll receive the application link via email.<br/><br/>To enquire via phone, call 1300 815 051 and enter code 3321<br/><br/>Video Tour Link:<br/>https://www.youtube.com/watch?v=BA3VzHe0aFA<br/><br/>OPEN INSPECTION THIS SATURDAY AND WEEKDAY INSPECTIONS BY PRIVATE APPOINTMENT ONLY- To Inspect the property SUBMIT an online inquiry and we will get back to you with the available time to inspect the premises subject to tenant access<br/><br/>This spacious unfurnished one bedroom apartment in World Tower has the best location, everything you could ever need is within easy walking distance. Coles, World Square, restaurants and Cafes shops are just downstairs; and Chinatown, Hyde Park, Cockle Bay, Darling Harbour and QVB are all within walking distance. Minutes to public transport such Central Station, Museum Station, Town Hall station, and Gadigal Metro, light rail and buses stop only a few steps away.<br/><br/>Features include:<br/>* Level 30<br/>* Spacious living and dining areas<br/>* Full floor to ceiling windows<br/>* Spacious balconies and enclosed sun room / winter garden<br/>* Fully ducted air-conditioning<br/>* Built in robe in bedroom<br/>* Stylish gas kitchen with granite bench top and dishwasher<br/>* Separate internal laundry with dryer<br/>* State-of-the-art security including security video intercom<br/>* Secure building with swipe key access<br/>* Resort style swimming pool, spa, sauna, gymnasium<br/><br/>Nearest cross street is George Street & Pitt Street. Available from 21/03/2025.<br/><br/>To enquire via phone, call 1300 815 051 and enter code 3321",unit,Sydney,-33.87684814,151.20671261,2000,NSW,UNIT 3013/91-95 LIVERPOOL STREET,Sydney,1,1,1,Property Now - BRISBANE CITY,"Balcony, Open Spaces: 1, Secure Parking, Air Conditioning, Built-in Wardrobes, Dishwasher, Ducted Heating, Gym, Intercom, Living Areas: 1, Study"
For Lease – 4 bedroom Home in Convenient Invermay Location,570.0,"This 4 bedrooms or 3 bedrooms plus large office in Invermay features;<br/><br/>Fully fenced yard with established front garden<br/><br/>Updated kitchen with adjoining dining area<br/><br/>Sliding doors opening to covered entertaining deck<br/><br/>Adjoining workshop space<br/><br/>Two heat pumps <br/><br/>Single-car garage and Off-street parking for up to three additional vehicles<br/><br/>Located in the popular suburb of Invermay, close to Invermay & Mowbray shopping precincts",house,Invermay,-41.41359947,147.13244802,7248,Tas,12 Kinross Street,Invermay,1,4,4,The Agency - Launceston,"Deck, Garage: 1, Open Spaces: 3, Secure Parking, Shed, Built-in Wardrobes, Living Areas: 1, Split-system Air Conditioning, Split-system Heating, Toilets: 2, Pets Allowed"
"Modern Family Living at 76 Contour Road, Austral",950.0,"Step into this spacious 5-bedroom, 3-bathroom family home located in the heart of Austral. The property boasts a stylish ensuite, perfect for added privacy and convenience. With 3 toilets and a garage space for your vehicle, this house is designed to cater to all your family's needs.<br/><br/>Enjoy the open-plan living area, ideal for entertaining guests or simply relaxing with your loved ones. The contemporary design and layout provide a comfortable and functional space for everyday living. Whether it's hosting a dinner party or watching a movie night, this property offers versatility for any occasion.<br/><br/>Situated in a peaceful neighbourhood, this House is the perfect place to call home. With easy access to local amenities, schools, and parks, you'll experience the best of suburban living. Don't miss this opportunity to create lasting memories in a property that truly embodies modern family living.",house,Austral,-33.9423615,150.8026231,2179,NSW,76 Contour Road,Austral,3,5,1,Platinum Property Estate Agents - CASULA,"Fully Fenced, Garage: 1, Outdoor Entertaining Area, Remote Garage, Air Conditioning, Built-in Wardrobes, Dishwasher, Ensuite: 1, Living Areas: 1, Toilets: 3"
Prestige Inner-City Living with Elevated Views,2500.0,"Be the first to enjoy this masterfully redeveloped residence at 14 Dunlop Street, Bowen Hills. Thoughtfully designed across three expansive levels, this home combines the scale and sophistication of a brand-new build with high-end finishes, architectural detail, and sweeping city vistas.<br/>Best of all - the ground level features a fully self-contained unit with its own private access, offering a bedroom, bathroom, open-plan living and kitchen area, and a deck - ideal for guests, multigenerational living, or a home office with complete privacy.<br/><br/>Every aspect of this residence has been considered for modern executive living, from its elevated position capturing cooling breezes to its stylish, light-filled interiors and premium fixtures. With multiple living zones, including a secluded third-level parents’ retreat, this home offers the ultimate in flexibility, privacy, and comfort.<br/><br/>Property Highlights:<br/>- Three-level layout with multiple living zones and expansive bedrooms<br/>- Ground-level entrance leading to formal and casual living spaces<br/>- Level two features three bedrooms, including a master with walk-in robe and ensuite<br/>- Third-level master retreat with luxurious master suite, walk-in robe, and private ensuite<br/>- Designer kitchen with stone benchtops, premium appliances, and custom cabinetry<br/>- Stylish bathrooms with high-quality fixtures and elegant design<br/>- Ducted air-conditioning for comfort throughout<br/>- Solar panels for energy efficiency<br/>- Elevated position with sweeping views across Brisbane City<br/>- Refrigerators included in both the self-contained unit and the main kitchen *Property is otherwise unfurnished <br/><br/>Location Highlights:<br/>- Moments from James Street’s vibrant dining and boutique retail precinct<br/>- Close to Gasworks Plaza and Fortitude Valley’s lifestyle and entertainment hub<br/>- Short drive to Brisbane CBD, providing easy access for work or leisure<br/>- Walking distance to parklands, cycling paths, and local cafés<br/>- Convenient access to major transport links, including train and bus networks<br/>- Surrounded by prestigious schools and childcare options<br/><br/>This is a rare opportunity to secure a meticulously built home that combines executive-scale living with modern luxury, elevated views, and a prime inner-city location. 14 Dunlop Street offers the perfect balance of privacy, sophistication, and lifestyle convenience.<br/><br/>Important Information for Applicants:<br/>Please note, we use 2Apply for all rental applications, and our rental payment options are as follows:<br/><br/>Rental Payment Options:<br/>We use SimpleRent for all rental payments. The options are:<br/>Simple Rent Direct Debit<br/>From Bank Account: $1.65 per transaction<br/>Credit Card (Visa/Mastercard): 1.98% per transaction<br/>AMEX: 4.4% per transaction<br/>Simple Rent Pay Today - Free Option for Rent Payments<br/>This is a push payment, requiring you to use your tenancy login to manually initiate payments via the SimpleRent platform.<br/>Free payments are available only from a bank account.<br/>Note: Credit card payments will incur a 1.98% surcharge. <br/><br/>PLEASE NOTE: Tenants are responsible for making any inquiries and doing research in relation to any utility connections and internet options available at the property.",house,Bowen Hills,-27.44642051,153.04148624,4006,Qld,14 Dunlop Street,Bowen Hills,4,5,4,Aurora Property Brisbane South,"Balcony, Courtyard, Deck, Fully Fenced, Garage: 4, Outdoor Entertaining Area, Remote Garage, Secure Parking, Air Conditioning, Built-in Wardrobes, Dishwasher, Ducted Heating, Floorboards, Intercom, Study"
Low-Maintenance Living in a Prime Location,550.0,"Step inside and be the first to enjoy this beautifully crafted three (3) bedroom, two (2) bathroom home, where modern comfort, style, and everyday convenience come together effortlessly. Showcasing a thoughtfully designed floorplan ideal for relaxed family living, the home features sun-filled interiors, quality finishes, and low-maintenance landscaping perfect for families or couples alike.<br/>Floating floorboards flow seamlessly throughout the main living areas, while plush carpeted bedrooms provide warmth and comfort. Positioned in a highly sought-after location, this inviting residence offers a perfect balance of privacy and practical living.<br/><br/>Key Features: <br/>3 bedrooms with ensuite<br/>2 bathrooms <br/>Open-plan living and dining filled with natural light <br/>Open plan kitchen with stainless steel appliances<br/>Durable floating floors throughout main living area <br/>Low-maintenance front and back yards - perfect for a busy lifestyle <br/>Single-car garage with internal access <br/>Bright, airy interior designed for comfort and style <br/><br/>Ideally positioned just moments from local shops, schools, recreational reserves and major highway access, everything your family needs is right at your doorstep.<br/><br/>This fantastic home is ready for you to move in. <br/><br/>To arrange your inspection, contact Vicki on [REDACTED PHONE] today for a private viewing or open for inspection date.<br/><br/>Additional Information:<br/>• $550 per week, BOND $2384<br/>• Available from 5th April, 2026<br/>• Photo ID is required for all open inspections<br/><br/><br/>**PLEASE CLICK 'GET IN TOUCH' OR 'APPLY' TO REGISTER YOUR DETAILS**<br/><br/>You are encouraged to pre apply for the property online!<br/><br/>**Disclaimer: All dimensions, sizes, and layouts are approximate. The agent or producer cannot be held responsible for any errors, omissions, or misstatements. Photos are for illustrative purposes only and may not exactly represent the property. Parties should make and rely on their own enquiries in relation to this property**<br/>",house,Officer,-38.07225749,145.3952521,3809,Vic,36 Charming Loop,Officer,2,3,1,VC Property Group,"Garage: 1, Ensuite: 1, Living Areas: 1, Toilets: 2"
Charming Single-Level Cottage in Quiet Cul-de-Sac,750.0,"Positioned in a peaceful cul-de-sac in the heart of Wattle Grove, this well-presented single-level cottage offers comfort, space, and convenience—perfect for a growing family. Enjoy a sunny north-facing rear aspect, generous outdoor space, and a practical layout designed for easy everyday living.<br/><br/>Property Features:<br/>• Free-flowing layout with generously scaled lounge room<br/>• Separate dining area ideal for family meals<br/>• U-shaped kitchen with gas cooktop and ample storage<br/>• Three good-sized bedrooms, all with built-in robes<br/>• External laundry with separate toilet and linen storage<br/>• Vast level backyard, perfect for children to play or outdoor entertaining<br/>• Single carport plus shed and additional off-street parking<br/><br/>Location Highlights:<br/>• Quiet, family-friendly cul-de-sac<br/>• Close to local schools, parks, and walking tracks<br/>• Minutes to Wattle Grove Shopping Village<br/>• Easy access to public transport, Liverpool CBD, and the M5 Motorway<br/><br/>This charming home combines suburban tranquillity with excellent connectivity, making it an ideal choice for families seeking space and lifestyle convenience.<br/><br/>Please note: We only accept 2APPLY applications.",house,Wattle Grove,-33.94641514,150.9450053,2173,NSW,8 Anzac Mews,Wattle Grove,1,3,1,The Agency - South West Sydney,"Garage: 1, Built-in Wardrobes, Pets Allowed"
